run_label,timestamp_utc,codec,level,stage,status,size_MB,input_bytes,source_repeats,repeats_in_window,runtime_s,energy_kWh,cpu_kWh,gpu_kWh,ram_kWh,cpu_power_W,ram_power_W,emissions_kgCO2eq,energy_kWh_per_GB,emissions_kgCO2eq_per_GB,MB_per_s,compressed_bytes,compression_ratio,bits_per_byte,roundtrip_ok,cpu_model,cpu_count,ram_total_size,os,python_version,codecarbon_version,country_iso_code,energy_source
macbook-i5-8257u,2026-09-09T10:37:02+00:00,zstd,3,compression,ok,10.0,10000000,0.20032051282051283,20,0.08720857000007527,2.9033956471192166e-07,4.8080866795581985e-08,0.0,2.4225869791633966e-07,2.0097620385,10.0,6.898148684034074e-08,2.9033956471192167e-05,6.898148684034074e-06,114.66762956887572,4002253,2.4985926676799295,3.2018024,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:02+00:00,zstd,3,decompression,ok,10.0,10000000,0.20032051282051283,20,0.025537104300019563,9.108531306568535e-08,2.0104251537410194e-08,0.0,7.098106152827515e-08,2.756441706,10.0,2.1640868445963117e-08,9.108531306568534e-06,2.1640868445963115e-06,391.58707590791096,4002253,2.4985926676799295,3.2018024,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:10+00:00,zstd,3,compression,ok,25.0,25000000,0.500801282051282,15,0.19744719679971848,6.466520847204444e-07,9.818930972244486e-08,0.0,5.484627749979997e-07,1.9332989193750003,10.0,1.5363742215664568e-07,2.5866083388817775e-05,6.145496886265827e-06,126.61613031335598,10013779,2.4965599899897932,3.20440928,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:10+00:00,zstd,3,decompression,ok,25.0,25000000,0.500801282051282,20,0.05847529344973736,1.9677435460181866e-07,3.432004113017051e-08,0.0,1.6245431347164817e-07,1.896121068,10.0,4.67514221354915e-08,7.870974184072745e-06,1.8700568854196598e-06,427.53098830515205,10013779,2.4965599899897932,3.20440928,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:17+00:00,zstd,3,compression,ok,50.0,50000000,1.001602564102564,8,0.4050115954996727,1.3306989781252371e-06,2.0569052986250236e-07,0.0,1.1250084482627346e-06,1.8261972951000005,10.0,3.16159439513797e-07,2.661397956250474e-05,6.323188790275939e-06,123.45325555016215,20039729,2.495043720401608,3.20635664,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:17+00:00,zstd,3,decompression,ok,50.0,50000000,1.001602564102564,20,0.09659686235027039,3.1746806288708237e-07,4.9129333717632994e-08,0.0,2.6833872916944934e-07,1.7207343915,10.0,7.5426919593279e-08,6.349361257741647e-06,1.50853839186558e-06,517.6151562635102,20039729,2.495043720401608,3.20635664,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:24+00:00,zstd,3,compression,ok,100.0,100000000,2.003205128205128,4,0.8421905392497138,2.7658717642445894e-06,4.265783461978781e-07,0.0,2.339293418046711e-06,1.8119398479000002,10.0,6.571407065951078e-07,2.765871764244589e-05,6.571407065951077e-06,118.7379759562337,40081143,2.49493882946402,3.20649144,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:24+00:00,zstd,3,decompression,ok,100.0,100000000,2.003205128205128,16,0.188723632250003,6.170541759234778e-07,9.529759571457163e-08,0.0,5.217565802089061e-07,1.771698175125,10.0,1.4660528460348316e-07,6.170541759234777e-06,1.4660528460348316e-06,529.8753463346317,40081143,2.49493882946402,3.20649144,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:33+00:00,zstd,3,compression,ok,250.0,250000000,5.00801282051282,2,2.05702680000104,6.751335907096008e-06,1.037747659864302e-06,0.0,5.713588247231706e-06,1.8159449820000004,10.0,1.6040431468310334e-06,2.700534362838403e-05,6.4161725873241335e-06,121.53463435667129,100205868,2.4948638736406137,3.206587776,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:33+00:00,zstd,3,decompression,ok,250.0,250000000,5.00801282051282,7,0.4759473390004132,1.5625043199435663e-06,2.405001905741836e-07,0.0,1.3220041293693829e-06,1.7626226361000001,10.0,3.712338388710719e-07,6.250017279774265e-06,1.4849353554842877e-06,525.2681956895718,100205868,2.4948638736406137,3.206587776,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:44+00:00,zstd,3,compression,ok,500.0,500000000,10.01602564102564,1,4.122225139988586,1.3553186895300535e-05,2.1036545369334084e-06,0.0,1.1449532358367126e-05,1.8307674285,10.0,3.2200881212675585e-06,2.710637379060107e-05,6.440176242535117e-06,121.29371468570113,200413815,2.4948379930794693,3.20662104,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
macbook-i5-8257u,2026-09-09T10:37:44+00:00,zstd,3,decompression,ok,500.0,500000000,10.01602564102564,4,0.9160055232496234,3.010323021207674e-06,4.6594421565982807e-07,0.0,2.544378805547846e-06,2.1013369125000003,10.0,7.152196362857101e-07,6.020646042415348e-06,1.4304392725714201e-06,545.8482370566924,200413815,2.4948379930794693,3.20662104,True,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,8,8.0,macOS-15.7.7-x86_64-i386-64bit,3.12.0,3.3.0,GBR,"codecarbon (CPU power = TDP estimate on macOS, no RAPL)"
